Component,LCDM,IDMDR_refined,Difference
Planck low-ell TT,23.250956630036,22.699083414748,-0.5518732152880013
Planck low-ell EE,402.718334497926,401.881574367001,-0.8367601309249721
Planck high-ell TTTEEE-lite,583.060961754723,584.089305368318,1.0283436135949842
DESI DR2 BAO,13.135413170245,11.785621608207,-1.3497915620379999
Pantheon+,1405.438518663022,1405.865062333223,0.42654367020099926
