Quantity,LCDM,IDMDR_refined,Difference
chi2_data,2427.604184715953,2426.320647091497,-1.2835376244561303
H0,68.220876,68.508092,0.2872160000000008
Omega_m,0.303141067082,0.300887658174,-0.002253408908000021
sigma8,0.815965319522,0.815731209929,-0.00023410959300007583
S8,0.820225866018,0.816937136006,-0.0032887300119999185
