stage,rhoend,exact_chi2,improvement_over_previous,improvement_over_lcdm
coarse,0.05,2426.675711902061,,0.9284728138923128
rho005,0.005,2426.54677748832,0.12893441374080794,1.0574072276331208
rho001,0.001,2426.378541062237,0.16823642608278533,1.2256436537159061
rho0002,0.0002,2426.320647091497,0.05789397074022418,1.2835376244561303
