likelihood,chi2,loglike
Planck low-ell TT,22.699083414748,-11.349541707374
Planck low-ell EE,401.881574367001,-200.9407871835005
Planck high-ell TTTEEE-lite,584.089305368318,-292.044652684159
DESI DR2 BAO,11.785621608207,-5.8928108041035
Pantheon+,1405.865062333223,-702.9325311666115
